Tipos de Cliente,client_type_seg_1,client_type_seg_2
AB  ABARROTES,AB  ABARROTES,AB  ABARROTES
MI  MISCELANEA,MI  MISCELANEA,MI  MISCELANEA
OT  OTROS,OT  OTROS,OT  OTROS
DC  DEPOSITO DE CERVEZA,Deposito Cerveza,Deposito Cerveza
LI  LICORERIA,Deposito Cerveza,Deposito Cerveza
DCLC  LA CANTERA,Deposito Cerveza,Deposito Cerveza
DCCR  CORONA,Deposito Cerveza,Deposito Cerveza
DCOA  OASIS,Deposito Cerveza,Deposito Cerveza
DCUM  DEP. DE CERVEZA ULTRAMARINOS,Deposito Cerveza,Deposito Cerveza
DCMD  MODELORAMA,Deposito Cerveza,Deposito Cerveza
DCCF  CERVEFRIO,Deposito Cerveza,Deposito Cerveza
DCCC  CERVECENTRO,Deposito Cerveza,Deposito Cerveza
DCPM  PUNTO MODELO,Deposito Cerveza,Deposito Cerveza
DCSL  SOL,Deposito Cerveza,Deposito Cerveza
DCT6  TECATE SIX,Deposito Cerveza,Deposito Cerveza
DCAL  AUTO LATA,Deposito Cerveza,Deposito Cerveza
DCSC  SUPER C,Deposito Cerveza,Deposito Cerveza
DE  DEPOSITO,Deposito Cerveza,Deposito Cerveza
MS  MINISUPER,MS  MINISUPER,MS  MINISUPER
PE  SECUNDARIA PARTICULAR,Escuela,Escuela
ES  ESCUELA,Escuela,Escuela
KG  KINDER DE GOBIERNO,Escuela,Escuela
KP  KINDER PARTICULAR,Escuela,Escuela
PPG  PREPARATORIA DE GOBIERNO,Escuela,Escuela
PPP  PREPARATORIA PARTICULAR,Escuela,Escuela
PRG  PRIMARIA DE GOBIERNO,Escuela,Escuela
PRP  PRIMARIA PARTICULAR,Escuela,Escuela
PSG  PRIMARIA A SECUNDARIA GOBIERNO,Escuela,Escuela
PSP  PRIMARIA A SEC PARTICULAR,Escuela,Escuela
PUG  PREP A UNIV GOBIERNO,Escuela,Escuela
PUP  PREP A UNIV PARTICULAR,Escuela,Escuela
SCG  SECUNDARIA DE GOBIERNO,Escuela,Escuela
SCP  SECUNDARIA PARTICULAR,Escuela,Escuela
SPG  SECUNDARIA A PREP GOBIERNO,Escuela,Escuela
SPP  SECUNDARIA A PREP PARTICULAR,Escuela,Escuela
UNG  UNIVERSIDAD DE GOBIERNO,Escuela,Escuela
UNP  UNIVERSIDAD PARTICULAR,Escuela,Escuela
VRG  VARIOS DE GOBIERNO,Escuela,Escuela
VRP  VARIOS PARTICULAR,Escuela,Escuela
PG  PREPARATORIA DE GOBIERNO,Escuela,Escuela
PTG  PREPARATORIA DE GOBIERNO,Escuela,Escuela
PTP  PREPARATORIA PARTICULAR,Escuela,Escuela
G1  PRIM A SEC GOBIERNO,Escuela,Escuela
G2  PRIM A PREP GOBIERNO,Escuela,Escuela
G3  SEC Y PREP GOBIENO,Escuela,Escuela
G4  PREP Y UNIV GOBIERNO,Escuela,Escuela
GE  SECUNDARIA DE GOBIERNO,Escuela,Escuela
GP  PRIMARIA DE GOBIERNO,Escuela,Escuela
GU  UNIVERSIDAD DE GOBIERNO,Escuela,Escuela
GV  VARIOS GOBIERNO,Escuela,Escuela
P1  PRIM A SEC PARTICULAR,Escuela,Escuela
P2  PRIM A PREP PARTICULAR,Escuela,Escuela
P3  SEC Y PREP PARTICULAR,Escuela,Escuela
P4  PREP Y UNIV PARTICULAR,Escuela,Escuela
PI  PRIMARIA PARTICULAR,Escuela,Escuela
PT  PREPARATORIA PARTICULAR,Escuela,Escuela
PU  UNIVERSIDAD PARTICULAR,Escuela,Escuela
ESP  ESPECIAL (CAPACIDADES DIFEREN),Escuela,Escuela
PREP  PREPARATORIA,Escuela,Escuela
LIC  LICENCIATURA,Escuela,Escuela
POS  POSGRADO,Escuela,Escuela
PRIM  PRIMARIA,Escuela,Escuela
TEC  ESCUELA TECNICA,Escuela,Escuela
PRES  PRESCOLAR,Escuela,Escuela
SEC  SECUNDARIA,Escuela,Escuela
FA  FARMACIA,Farmacias,Farmacias
BC  FARMACIAS ABC,Farmacias,Farmacias
FF  FARMACIAS FENIX,Farmacias,Farmacias
FC  FARMACIA LA CADENA,Farmacias,Farmacias
FBEN  FARMACIA BENAVIDEZ,Farmacias,Farmacias
FGDL  FARMACIA GUADALAJARA,Farmacias,Farmacias
FACB  FARMACIA ABC,Farmacias,Farmacias
BE  BENAVIDES,Farmacias,Farmacias
PS  PUESTO,PS  PUESTO,Otros Tradicional
PF  PUESTO FIJO,PS  PUESTO,Otros Tradicional
PR  PUESTO DE REVIS,PS  PUESTO,Otros Tradicional
